stage,epoch,train_loss,train_acc,test_loss,test_acc,micro_f1,macro_f1,cough_f1,cough_precision,cough_recall,non_cough_f1,non_cough_precision,non_cough_recall,learning_rate
Stage1,43,0.000519,0.897059,0.033116,86.861314,0.868613,0.712185,0.500000,0.339623,0.947368,0.924370,0.995475,0.862745,0.00006243
Stage1,44,0.000488,0.898897,0.034402,87.591241,0.875912,0.721578,0.514286,0.352941,0.947368,0.928870,0.995516,0.870588,0.00006091
Stage1,45,0.000449,0.897059,0.033514,87.226277,0.872263,0.716833,0.507042,0.346154,0.947368,0.926625,0.995495,0.866667,0.00005937
Stage1,46,0.000438,0.903493,0.032521,86.861314,0.868613,0.712185,0.500000,0.339623,0.947368,0.924370,0.995475,0.862745,0.00005782
Stage1,47,0.000386,0.904412,0.034423,87.956204,0.879562,0.726423,0.521739,0.360000,0.947368,0.931106,0.995536,0.874510,0.00005627
Stage1,48,0.000372,0.904412,0.033913,87.956204,0.879562,0.726423,0.521739,0.360000,0.947368,0.931106,0.995536,0.874510,0.00005471
Stage1,49,0.000340,0.910846,0.035900,89.051095,0.890511,0.741607,0.545455,0.382979,0.947368,0.937759,0.995595,0.886275,0.00005314
Stage1,50,0.000316,0.909926,0.038282,89.051095,0.890511,0.741607,0.545455,0.382979,0.947368,0.937759,0.995595,0.886275,0.00005157
Stage1,51,0.000312,0.917279,0.032804,87.956204,0.879562,0.726423,0.521739,0.360000,0.947368,0.931106,0.995536,0.874510,0.00005000
Stage1,52,0.000296,0.909007,0.035013,89.051095,0.890511,0.741607,0.545455,0.382979,0.947368,0.937759,0.995595,0.886275,0.00004843
Stage1,53,0.000272,0.918199,0.034103,88.686131,0.886861,0.736432,0.537313,0.375000,0.947368,0.935551,0.995575,0.882353,0.00004686
Stage1,54,0.000272,0.917279,0.030395,85.766423,0.857664,0.698774,0.480000,0.321429,0.947368,0.917548,0.995413,0.850980,0.00004529
Stage1,55,0.000307,0.924632,0.035567,89.051095,0.890511,0.741607,0.545455,0.382979,0.947368,0.937759,0.995595,0.886275,0.00004373
Stage1,56,0.000237,0.927390,0.036552,89.051095,0.890511,0.741607,0.545455,0.382979,0.947368,0.937759,0.995595,0.886275,0.00004218
Stage1,57,0.000227,0.929228,0.034739,89.051095,0.890511,0.741607,0.545455,0.382979,0.947368,0.937759,0.995595,0.886275,0.00004063
Stage1,58,0.000214,0.928309,0.037850,89.781022,0.897810,0.752324,0.562500,0.400000,0.947368,0.942149,0.995633,0.894118,0.00003909
Stage1,59,0.000207,0.927390,0.038030,89.781022,0.897810,0.752324,0.562500,0.400000,0.947368,0.942149,0.995633,0.894118,0.00003757
Stage1,60,0.000220,0.928309,0.039033,90.145985,0.901460,0.757879,0.571429,0.409091,0.947368,0.944330,0.995652,0.898039,0.00003605
Stage1,61,0.000198,0.932904,0.038846,90.145985,0.901460,0.757879,0.571429,0.409091,0.947368,0.944330,0.995652,0.898039,0.00003455
Stage1,62,0.000195,0.934743,0.039095,90.145985,0.901460,0.757879,0.571429,0.409091,0.947368,0.944330,0.995652,0.898039,0.00003306
Stage1,63,0.000180,0.937500,0.035625,89.416058,0.894161,0.746902,0.553846,0.391304,0.947368,0.939959,0.995614,0.890196,0.00003159
Stage1,64,0.000184,0.931066,0.035612,89.416058,0.894161,0.746902,0.553846,0.391304,0.947368,0.939959,0.995614,0.890196,0.00003014
Stage1,65,0.000173,0.937500,0.035681,89.416058,0.894161,0.746902,0.553846,0.391304,0.947368,0.939959,0.995614,0.890196,0.00002871
Stage1,66,0.000168,0.939338,0.034997,89.416058,0.894161,0.746902,0.553846,0.391304,0.947368,0.939959,0.995614,0.890196,0.00002730
Stage1,67,0.000162,0.937500,0.038341,90.145985,0.901460,0.757879,0.571429,0.409091,0.947368,0.944330,0.995652,0.898039,0.00002591
Stage1,68,0.000166,0.937500,0.042009,91.240876,0.912409,0.775410,0.600000,0.439024,0.947368,0.950820,0.995708,0.909804,0.00002455
Stage1,69,0.000156,0.940257,0.039997,90.145985,0.901460,0.757879,0.571429,0.409091,0.947368,0.944330,0.995652,0.898039,0.00002321
Stage1,70,0.000148,0.943015,0.039476,90.145985,0.901460,0.757879,0.571429,0.409091,0.947368,0.944330,0.995652,0.898039,0.00002190
Stage1,71,0.000146,0.943934,0.036687,90.145985,0.901460,0.757879,0.571429,0.409091,0.947368,0.944330,0.995652,0.898039,0.00002061
Stage1,72,0.000141,0.943934,0.039607,90.145985,0.901460,0.757879,0.571429,0.409091,0.947368,0.944330,0.995652,0.898039,0.00001935
Stage1,73,0.000140,0.943934,0.039779,90.510949,0.905109,0.763574,0.580645,0.418605,0.947368,0.946502,0.995671,0.901961,0.00001813
Stage1,74,0.000130,0.947610,0.038341,90.145985,0.901460,0.757879,0.571429,0.409091,0.947368,0.944330,0.995652,0.898039,0.00001693
Stage1,75,0.000133,0.943934,0.038422,90.145985,0.901460,0.757879,0.571429,0.409091,0.947368,0.944330,0.995652,0.898039,0.00001577
Stage1,76,0.000131,0.944853,0.039657,90.510949,0.905109,0.763574,0.580645,0.418605,0.947368,0.946502,0.995671,0.901961,0.00001464
Stage1,77,0.000129,0.946691,0.038885,90.145985,0.901460,0.757879,0.571429,0.409091,0.947368,0.944330,0.995652,0.898039,0.00001355
Stage1,78,0.000132,0.945772,0.037802,90.145985,0.901460,0.757879,0.571429,0.409091,0.947368,0.944330,0.995652,0.898039,0.00001249
Stage2,1,1.499140,0.708984,0.194019,78.294574,0.782946,0.548048,0.222222,0.148148,0.444444,0.873874,0.950980,0.808333,0.00000990
Stage2,2,0.564838,0.660156,0.172703,68.992248,0.689922,0.531590,0.259259,0.155556,0.777778,0.803922,0.976190,0.683333,0.00000986
Stage2,3,0.403595,0.701172,0.230531,80.620155,0.806202,0.586803,0.285714,0.192308,0.555556,0.887892,0.961165,0.825000,0.00000974
Stage2,4,0.452458,0.712891,0.190696,72.868217,0.728682,0.559125,0.285714,0.175000,0.777778,0.832536,0.977528,0.725000,0.00000955
Stage2,5,0.414104,0.671875,0.201133,79.069767,0.790698,0.592202,0.307692,0.200000,0.666667,0.876712,0.969697,0.800000,0.00000929
Stage2,6,0.175829,0.626953,0.230268,62.015504,0.620155,0.485470,0.222222,0.129630,0.777778,0.748718,0.973333,0.608333,0.00000895
Stage2,7,0.150285,0.546875,0.236873,65.116279,0.651163,0.505579,0.237288,0.140000,0.777778,0.773869,0.974684,0.641667,0.00000856
Stage2,8,0.117667,0.593750,0.224912,64.341085,0.643411,0.500505,0.233333,0.137255,0.777778,0.767677,0.974359,0.633333,0.00000811
Stage2,9,0.119315,0.613281,0.228523,72.093023,0.720930,0.553462,0.280000,0.170732,0.777778,0.826923,0.977273,0.716667,0.00000760
Stage2,10,0.093593,0.599609,0.233430,72.093023,0.720930,0.553462,0.280000,0.170732,0.777778,0.826923,0.977273,0.716667,0.00000706
Stage2,11,0.113941,0.619141,0.320896,60.465116,0.604651,0.475568,0.215385,0.125000,0.777778,0.735751,0.972603,0.591667,0.00000648
Stage2,12,0.121663,0.589844,0.285256,64.341085,0.643411,0.500505,0.233333,0.137255,0.777778,0.767677,0.974359,0.633333,0.00000588
Stage2,13,0.095067,0.585938,0.240215,69.767442,0.697674,0.536954,0.264151,0.159091,0.777778,0.809756,0.976471,0.691667,0.00000526
Stage2,14,0.094500,0.603516,0.227720,69.767442,0.697674,0.536954,0.264151,0.159091,0.777778,0.809756,0.976471,0.691667,0.00000464
Stage2,15,0.091959,0.638672,0.289202,69.767442,0.697674,0.536954,0.264151,0.159091,0.777778,0.809756,0.976471,0.691667,0.00000402
Stage2,16,0.105697,0.621094,0.277102,67.441860,0.674419,0.521040,0.250000,0.148936,0.777778,0.792079,0.975610,0.666667,0.00000342
Stage2,17,0.083963,0.585938,0.269014,72.868217,0.728682,0.559125,0.285714,0.175000,0.777778,0.832536,0.977528,0.725000,0.00000284
Stage2,18,0.087900,0.630859,0.335866,66.666667,0.666667,0.515842,0.245614,0.145833,0.777778,0.786070,0.975309,0.658333,0.00000230
Stage2,19,0.103465,0.617188,0.308538,65.891473,0.658915,0.510690,0.241379,0.142857,0.777778,0.780000,0.975000,0.650000,0.00000179
Stage2,20,0.087883,0.560547,0.278369,67.441860,0.674419,0.521040,0.250000,0.148936,0.777778,0.792079,0.975610,0.666667,0.00000134
Stage2,21,0.082065,0.611328,0.275057,68.217054,0.682171,0.526288,0.254545,0.152174,0.777778,0.798030,0.975904,0.675000,0.00000095
Stage2,22,0.079029,0.599609,0.284836,68.992248,0.689922,0.531590,0.259259,0.155556,0.777778,0.803922,0.976190,0.683333,0.00000061
Stage2,23,0.093017,0.599609,0.288411,68.992248,0.689922,0.531590,0.259259,0.155556,0.777778,0.803922,0.976190,0.683333,0.00000035
Stage2,24,0.073028,0.597656,0.285969,68.992248,0.689922,0.531590,0.259259,0.155556,0.777778,0.803922,0.976190,0.683333,0.00000016
Stage2,25,0.071363,0.603516,0.286476,68.992248,0.689922,0.531590,0.259259,0.155556,0.777778,0.803922,0.976190,0.683333,0.00000004
