stage,epoch,train_loss,train_acc,test_loss,test_acc,micro_f1,macro_f1,cough_f1,cough_precision,cough_recall,non_cough_f1,non_cough_precision,non_cough_recall,learning_rate
Stage2,1,1.456096,0.900391,0.230782,93.023256,0.930233,0.481928,0.000000,0.000000,0.000000,0.963855,0.930233,1.000000,0.00000990
Stage2,2,0.322555,0.941406,0.166311,93.798450,0.937984,0.583871,0.200000,1.000000,0.111111,0.967742,0.937500,1.000000,0.00000986
Stage2,3,0.234868,0.951172,0.170593,93.023256,0.930233,0.481928,0.000000,0.000000,0.000000,0.963855,0.930233,1.000000,0.00000974
Stage2,4,0.288522,0.955078,0.132962,96.124031,0.961240,0.842568,0.705882,0.750000,0.666667,0.979253,0.975207,0.983333,0.00000955
Stage2,5,0.268869,0.960938,0.119165,96.899225,0.968992,0.866736,0.750000,0.857143,0.666667,0.983471,0.975410,0.991667,0.00000929
Stage2,6,0.205703,0.962891,0.131342,95.348837,0.953488,0.773419,0.571429,0.800000,0.444444,0.975410,0.959677,0.991667,0.00000895
Stage2,7,0.146400,0.968750,0.126156,96.899225,0.968992,0.866736,0.750000,0.857143,0.666667,0.983471,0.975410,0.991667,0.00000856
Stage2,8,0.132794,0.970703,0.112251,96.899225,0.968992,0.866736,0.750000,0.857143,0.666667,0.983471,0.975410,0.991667,0.00000811
Stage2,9,0.129304,0.970703,0.120114,96.899225,0.968992,0.866736,0.750000,0.857143,0.666667,0.983471,0.975410,0.991667,0.00000760
Stage2,10,0.136154,0.964844,0.114305,96.899225,0.968992,0.880556,0.777778,0.777778,0.777778,0.983333,0.983333,0.983333,0.00000706
Stage2,11,0.110875,0.976562,0.114498,96.124031,0.961240,0.842568,0.705882,0.750000,0.666667,0.979253,0.975207,0.983333,0.00000648
Stage2,12,0.144074,0.976562,0.117429,96.899225,0.968992,0.866736,0.750000,0.857143,0.666667,0.983471,0.975410,0.991667,0.00000588
Stage2,13,0.094280,0.976562,0.134315,96.899225,0.968992,0.866736,0.750000,0.857143,0.666667,0.983471,0.975410,0.991667,0.00000526
Stage2,14,0.100435,0.968750,0.129004,96.899225,0.968992,0.866736,0.750000,0.857143,0.666667,0.983471,0.975410,0.991667,0.00000464
Stage2,15,0.099411,0.980469,0.127904,96.899225,0.968992,0.866736,0.750000,0.857143,0.666667,0.983471,0.975410,0.991667,0.00000402
Stage2,16,0.126848,0.974609,0.130169,96.899225,0.968992,0.866736,0.750000,0.857143,0.666667,0.983471,0.975410,0.991667,0.00000342
Stage2,17,0.131964,0.974609,0.134665,97.674419,0.976744,0.905541,0.823529,0.875000,0.777778,0.987552,0.983471,0.991667,0.00000284
Stage2,18,0.108816,0.976562,0.124197,96.899225,0.968992,0.866736,0.750000,0.857143,0.666667,0.983471,0.975410,0.991667,0.00000230
Stage2,19,0.111271,0.974609,0.121806,96.899225,0.968992,0.866736,0.750000,0.857143,0.666667,0.983471,0.975410,0.991667,0.00000179
Stage2,20,0.101043,0.976562,0.122446,97.674419,0.976744,0.905541,0.823529,0.875000,0.777778,0.987552,0.983471,0.991667,0.00000134
Stage2,21,0.117808,0.974609,0.121050,97.674419,0.976744,0.905541,0.823529,0.875000,0.777778,0.987552,0.983471,0.991667,0.00000095
Stage2,22,0.103246,0.982422,0.117872,97.674419,0.976744,0.905541,0.823529,0.875000,0.777778,0.987552,0.983471,0.991667,0.00000061
Stage2,23,0.122585,0.980469,0.117733,97.674419,0.976744,0.905541,0.823529,0.875000,0.777778,0.987552,0.983471,0.991667,0.00000035
Stage2,24,0.131416,0.974609,0.117596,97.674419,0.976744,0.905541,0.823529,0.875000,0.777778,0.987552,0.983471,0.991667,0.00000016
Stage2,25,0.121507,0.968750,0.117176,97.674419,0.976744,0.905541,0.823529,0.875000,0.777778,0.987552,0.983471,0.991667,0.00000004
