stage,epoch,train_loss,train_acc,test_loss,test_acc,micro_f1,macro_f1,cough_f1,cough_precision,cough_recall,non_cough_f1,non_cough_precision,non_cough_recall,learning_rate
Stage2,1,1.323422,0.847656,0.283676,93.023256,0.930233,0.481928,0.000000,0.000000,0.000000,0.963855,0.930233,1.000000,0.00000990
Stage2,2,0.345495,0.933594,0.176184,93.023256,0.930233,0.481928,0.000000,0.000000,0.000000,0.963855,0.930233,1.000000,0.00000986
Stage2,3,0.267069,0.951172,0.155776,94.573643,0.945736,0.667648,0.363636,1.000000,0.222222,0.971660,0.944882,1.000000,0.00000974
Stage2,4,0.228181,0.947266,0.144290,96.124031,0.961240,0.823045,0.666667,0.833333,0.555556,0.979424,0.967480,0.991667,0.00000955
Stage2,5,0.194558,0.945312,0.153814,95.348837,0.953488,0.737805,0.500000,1.000000,0.333333,0.975610,0.952381,1.000000,0.00000929
Stage2,6,0.148350,0.951172,0.157546,93.798450,0.937984,0.583871,0.200000,1.000000,0.111111,0.967742,0.937500,1.000000,0.00000895
Stage2,7,0.161169,0.941406,0.154470,96.124031,0.961240,0.797488,0.615385,1.000000,0.444444,0.979592,0.960000,1.000000,0.00000856
Stage2,8,0.144373,0.949219,0.152083,96.899225,0.968992,0.866736,0.750000,0.857143,0.666667,0.983471,0.975410,0.991667,0.00000811
Stage2,9,0.128744,0.943359,0.152012,96.124031,0.961240,0.842568,0.705882,0.750000,0.666667,0.979253,0.975207,0.983333,0.00000760
Stage2,10,0.148096,0.939453,0.175895,95.348837,0.953488,0.820833,0.666667,0.666667,0.666667,0.975000,0.975000,0.975000,0.00000706
Stage2,11,0.134345,0.949219,0.163132,95.348837,0.953488,0.820833,0.666667,0.666667,0.666667,0.975000,0.975000,0.975000,0.00000648
Stage2,12,0.139273,0.949219,0.148836,96.124031,0.961240,0.842568,0.705882,0.750000,0.666667,0.979253,0.975207,0.983333,0.00000588
Stage2,13,0.110618,0.941406,0.149645,96.899225,0.968992,0.866736,0.750000,0.857143,0.666667,0.983471,0.975410,0.991667,0.00000526
Stage2,14,0.119511,0.945312,0.158432,95.348837,0.953488,0.820833,0.666667,0.666667,0.666667,0.975000,0.975000,0.975000,0.00000464
Stage2,15,0.118688,0.949219,0.155379,96.124031,0.961240,0.842568,0.705882,0.750000,0.666667,0.979253,0.975207,0.983333,0.00000402
Stage2,16,0.123524,0.933594,0.151326,96.124031,0.961240,0.842568,0.705882,0.750000,0.666667,0.979253,0.975207,0.983333,0.00000342
Stage2,17,0.108497,0.937500,0.158920,95.348837,0.953488,0.820833,0.666667,0.666667,0.666667,0.975000,0.975000,0.975000,0.00000284
Stage2,18,0.117434,0.925781,0.146307,96.899225,0.968992,0.866736,0.750000,0.857143,0.666667,0.983471,0.975410,0.991667,0.00000230
Stage2,19,0.123222,0.935547,0.163736,95.348837,0.953488,0.820833,0.666667,0.666667,0.666667,0.975000,0.975000,0.975000,0.00000179
Stage2,20,0.107635,0.935547,0.152268,96.124031,0.961240,0.842568,0.705882,0.750000,0.666667,0.979253,0.975207,0.983333,0.00000134
Stage2,21,0.109243,0.939453,0.153124,95.348837,0.953488,0.820833,0.666667,0.666667,0.666667,0.975000,0.975000,0.975000,0.00000095
Stage2,22,0.108589,0.935547,0.149411,96.124031,0.961240,0.842568,0.705882,0.750000,0.666667,0.979253,0.975207,0.983333,0.00000061
Stage2,23,0.097801,0.939453,0.151311,96.124031,0.961240,0.842568,0.705882,0.750000,0.666667,0.979253,0.975207,0.983333,0.00000035
Stage2,24,0.133723,0.935547,0.153195,96.124031,0.961240,0.842568,0.705882,0.750000,0.666667,0.979253,0.975207,0.983333,0.00000016
Stage2,25,0.129355,0.923828,0.152394,96.124031,0.961240,0.842568,0.705882,0.750000,0.666667,0.979253,0.975207,0.983333,0.00000004
