stage,epoch,train_total_loss,train_ce_loss,train_distill_loss,train_acc,test_loss,test_acc,micro_f1,macro_f1,cough_f1,cough_precision,cough_recall,non_cough_f1,non_cough_precision,non_cough_recall,learning_rate
Stage2,1,0.793991,0.293891,1.000200,0.908203,0.194503,94.573643,0.945736,0.716484,0.461538,0.750000,0.333333,0.971429,0.952000,0.991667,0.00000990
Stage2,2,0.208250,0.129277,0.157947,0.951172,0.137598,96.124031,0.961240,0.823045,0.666667,0.833333,0.555556,0.979424,0.967480,0.991667,0.00000986
Stage2,3,0.220457,0.115602,0.209710,0.947266,0.204803,91.472868,0.914729,0.687514,0.421053,0.400000,0.444444,0.953975,0.957983,0.950000,0.00000974
Stage2,4,0.278732,0.130195,0.297074,0.929688,0.155902,95.348837,0.953488,0.773419,0.571429,0.800000,0.444444,0.975410,0.959677,0.991667,0.00000955
Stage2,5,0.203070,0.120316,0.165508,0.945312,0.156256,95.348837,0.953488,0.800103,0.625000,0.714286,0.555556,0.975207,0.967213,0.983333,0.00000929
Stage2,6,0.139386,0.116468,0.229182,0.949219,0.140386,94.573643,0.945736,0.752263,0.533333,0.666667,0.444444,0.971193,0.959350,0.983333,0.00000895
Stage2,7,0.115963,0.086232,0.297312,0.949219,0.160827,94.573643,0.945736,0.752263,0.533333,0.666667,0.444444,0.971193,0.959350,0.983333,0.00000856
Stage2,8,0.117869,0.098127,0.197427,0.953125,0.125597,95.348837,0.953488,0.773419,0.571429,0.800000,0.444444,0.975410,0.959677,0.991667,0.00000811
Stage2,9,0.100554,0.083981,0.165729,0.951172,0.139412,95.348837,0.953488,0.773419,0.571429,0.800000,0.444444,0.975410,0.959677,0.991667,0.00000760
Stage2,10,0.141587,0.123262,0.183258,0.953125,0.121062,95.348837,0.953488,0.800103,0.625000,0.714286,0.555556,0.975207,0.967213,0.983333,0.00000706
Stage2,11,0.128343,0.105427,0.229161,0.943359,0.118589,95.348837,0.953488,0.800103,0.625000,0.714286,0.555556,0.975207,0.967213,0.983333,0.00000648
Stage2,12,0.130345,0.098483,0.318617,0.960938,0.163095,95.348837,0.953488,0.820833,0.666667,0.666667,0.666667,0.975000,0.975000,0.975000,0.00000588
Stage2,13,0.092873,0.074668,0.182049,0.949219,0.139764,94.573643,0.945736,0.779595,0.588235,0.625000,0.555556,0.970954,0.966942,0.975000,0.00000526
Stage2,14,0.102073,0.087628,0.144456,0.953125,0.136844,94.573643,0.945736,0.779595,0.588235,0.625000,0.555556,0.970954,0.966942,0.975000,0.00000464
Stage2,15,0.095780,0.079093,0.166872,0.958984,0.143747,94.573643,0.945736,0.779595,0.588235,0.625000,0.555556,0.970954,0.966942,0.975000,0.00000402
Stage2,16,0.078377,0.065229,0.131483,0.953125,0.142788,94.573643,0.945736,0.752263,0.533333,0.666667,0.444444,0.971193,0.959350,0.983333,0.00000342
Stage2,17,0.081883,0.069142,0.127410,0.947266,0.134047,93.798450,0.937984,0.733471,0.500000,0.571429,0.444444,0.966942,0.959016,0.975000,0.00000284
Stage2,18,0.097857,0.081417,0.164396,0.949219,0.135670,94.573643,0.945736,0.779595,0.588235,0.625000,0.555556,0.970954,0.966942,0.975000,0.00000230
Stage2,19,0.114876,0.103470,0.114058,0.947266,0.141399,94.573643,0.945736,0.779595,0.588235,0.625000,0.555556,0.970954,0.966942,0.975000,0.00000179
Stage2,20,0.104844,0.090131,0.147133,0.947266,0.131978,95.348837,0.953488,0.800103,0.625000,0.714286,0.555556,0.975207,0.967213,0.983333,0.00000134
Stage2,21,0.081817,0.069544,0.122723,0.958984,0.131212,94.573643,0.945736,0.779595,0.588235,0.625000,0.555556,0.970954,0.966942,0.975000,0.00000095
Stage2,22,0.061720,0.048055,0.136654,0.949219,0.136837,93.798450,0.937984,0.733471,0.500000,0.571429,0.444444,0.966942,0.959016,0.975000,0.00000061
Stage2,23,0.081020,0.072126,0.088944,0.953125,0.138318,94.573643,0.945736,0.779595,0.588235,0.625000,0.555556,0.970954,0.966942,0.975000,0.00000035
Stage2,24,0.073923,0.063398,0.105244,0.945312,0.137969,94.573643,0.945736,0.779595,0.588235,0.625000,0.555556,0.970954,0.966942,0.975000,0.00000016
Stage2,25,0.086060,0.076822,0.092379,0.945312,0.137727,94.573643,0.945736,0.779595,0.588235,0.625000,0.555556,0.970954,0.966942,0.975000,0.00000004
