stage,epoch,train_loss,train_acc,test_loss,test_acc,micro_f1,macro_f1,cough_f1,cough_precision,cough_recall,non_cough_f1,non_cough_precision,non_cough_recall,learning_rate
Stage1,1,0.686898,0.573529,0.704757,35.766423,0.357664,0.323001,0.169811,0.093264,0.947368,0.476190,0.987654,0.313725,0.00010000
Stage1,2,0.608583,0.718750,0.682403,61.313869,0.613139,0.481653,0.220588,0.128205,0.789474,0.742718,0.974522,0.600000,0.00009998
Stage1,3,0.441395,0.817096,0.672846,65.693431,0.656934,0.520908,0.265625,0.155963,0.894737,0.776190,0.987879,0.639216,0.00009990
Stage1,4,0.361953,0.875000,0.393369,85.766423,0.857664,0.684472,0.450704,0.307692,0.842105,0.918239,0.986486,0.858824,0.00009978
Stage1,5,0.272619,0.907169,0.358564,89.051095,0.890511,0.734633,0.531250,0.377778,0.894737,0.938017,0.991266,0.890196,0.00009961
Stage1,6,0.189864,0.941176,0.275950,93.065693,0.930657,0.778910,0.595745,0.500000,0.736842,0.962076,0.979675,0.945098,0.00009938
Stage1,7,0.160962,0.959559,0.277875,90.875912,0.908759,0.755244,0.561404,0.421053,0.842105,0.949084,0.987288,0.913725,0.00009911
Stage1,8,0.128405,0.979779,0.252096,95.620438,0.956204,0.851732,0.727273,0.640000,0.842105,0.976190,0.987952,0.964706,0.00009880
Stage1,9,0.119732,0.980699,0.238168,97.080292,0.970803,0.886894,0.789474,0.789474,0.789474,0.984314,0.984314,0.984314,0.00009843
Stage1,10,0.092079,0.994485,0.248085,98.175182,0.981752,0.919388,0.848485,1.000000,0.736842,0.990291,0.980769,1.000000,0.00009801
Stage1,11,0.087773,0.996324,0.224151,98.175182,0.981752,0.923698,0.857143,0.937500,0.789474,0.990253,0.984496,0.996078,0.00009755
Stage1,12,0.081743,0.997243,0.225953,97.810219,0.978102,0.905928,0.823529,0.933333,0.736842,0.988327,0.980695,0.996078,0.00009704
Stage1,13,0.080524,0.996324,0.227238,97.810219,0.978102,0.900436,0.812500,1.000000,0.684211,0.988372,0.977011,1.000000,0.00009649
Stage1,14,0.074633,0.998162,0.230314,98.175182,0.981752,0.919388,0.848485,1.000000,0.736842,0.990291,0.980769,1.000000,0.00009589
Stage1,15,0.070957,0.998162,0.223645,98.175182,0.981752,0.923698,0.857143,0.937500,0.789474,0.990253,0.984496,0.996078,0.00009524
Stage1,16,0.068395,0.998162,0.199887,98.175182,0.981752,0.923698,0.857143,0.937500,0.789474,0.990253,0.984496,0.996078,0.00009455
Stage1,17,0.067136,1.000000,0.210359,98.905109,0.989051,0.954219,0.914286,1.000000,0.842105,0.994152,0.988372,1.000000,0.00009382
Stage1,18,0.063614,1.000000,0.222073,98.175182,0.981752,0.919388,0.848485,1.000000,0.736842,0.990291,0.980769,1.000000,0.00009304
Stage1,19,0.062853,1.000000,0.206785,98.905109,0.989051,0.954219,0.914286,1.000000,0.842105,0.994152,0.988372,1.000000,0.00009222
Stage1,20,0.063873,1.000000,0.242651,97.445255,0.974453,0.880327,0.774194,1.000000,0.631579,0.986460,0.973282,1.000000,0.00009135
Stage1,21,0.064540,1.000000,0.230551,97.445255,0.974453,0.880327,0.774194,1.000000,0.631579,0.986460,0.973282,1.000000,0.00009045
Stage1,22,0.062259,1.000000,0.207971,97.810219,0.978102,0.900436,0.812500,1.000000,0.684211,0.988372,0.977011,1.000000,0.00008951
Stage1,23,0.061433,1.000000,0.225401,97.810219,0.978102,0.900436,0.812500,1.000000,0.684211,0.988372,0.977011,1.000000,0.00008853
Stage1,24,0.060828,1.000000,0.229674,97.080292,0.970803,0.858945,0.733333,1.000000,0.578947,0.984556,0.969582,1.000000,0.00008751
Stage1,25,0.059942,1.000000,0.222094,98.175182,0.981752,0.919388,0.848485,1.000000,0.736842,0.990291,0.980769,1.000000,0.00008645
Stage1,26,0.059212,1.000000,0.222777,97.810219,0.978102,0.900436,0.812500,1.000000,0.684211,0.988372,0.977011,1.000000,0.00008536
Stage1,27,0.059319,1.000000,0.218566,97.445255,0.974453,0.880327,0.774194,1.000000,0.631579,0.986460,0.973282,1.000000,0.00008423
Stage1,28,0.058893,1.000000,0.214544,98.175182,0.981752,0.919388,0.848485,1.000000,0.736842,0.990291,0.980769,1.000000,0.00008307
Stage1,29,0.058729,1.000000,0.218395,97.810219,0.978102,0.900436,0.812500,1.000000,0.684211,0.988372,0.977011,1.000000,0.00008187
Stage1,30,0.058805,1.000000,0.213881,98.175182,0.981752,0.919388,0.848485,1.000000,0.736842,0.990291,0.980769,1.000000,0.00008065
Stage1,31,0.058558,1.000000,0.220012,97.445255,0.974453,0.880327,0.774194,1.000000,0.631579,0.986460,0.973282,1.000000,0.00007939
Stage1,32,0.058245,1.000000,0.222751,97.445255,0.974453,0.880327,0.774194,1.000000,0.631579,0.986460,0.973282,1.000000,0.00007810
Stage1,33,0.058088,1.000000,0.217178,97.445255,0.974453,0.880327,0.774194,1.000000,0.631579,0.986460,0.973282,1.000000,0.00007679
Stage1,34,0.057999,1.000000,0.212748,97.810219,0.978102,0.900436,0.812500,1.000000,0.684211,0.988372,0.977011,1.000000,0.00007545
Stage1,35,0.057829,1.000000,0.208908,97.810219,0.978102,0.900436,0.812500,1.000000,0.684211,0.988372,0.977011,1.000000,0.00007409
Stage1,36,0.057683,1.000000,0.209274,97.445255,0.974453,0.880327,0.774194,1.000000,0.631579,0.986460,0.973282,1.000000,0.00007270
