stage,epoch,train_loss,train_acc,test_loss,test_acc,micro_f1,macro_f1,cough_f1,cough_precision,cough_recall,non_cough_f1,non_cough_precision,non_cough_recall,learning_rate
Stage2,1,0.680169,0.906250,0.206596,94.573643,0.945736,0.818565,0.666667,0.583333,0.777778,0.970464,0.982906,0.958333,0.00000990
Stage2,2,0.207697,0.949219,0.120387,96.124031,0.961240,0.842568,0.705882,0.750000,0.666667,0.979253,0.975207,0.983333,0.00000986
Stage2,3,0.115482,0.957031,0.091130,97.674419,0.976744,0.905541,0.823529,0.875000,0.777778,0.987552,0.983471,0.991667,0.00000974
Stage2,4,0.128494,0.957031,0.094411,96.899225,0.968992,0.880556,0.777778,0.777778,0.777778,0.983333,0.983333,0.983333,0.00000955
Stage2,5,0.131269,0.953125,0.124584,96.124031,0.961240,0.842568,0.705882,0.750000,0.666667,0.979253,0.975207,0.983333,0.00000929
Stage2,6,0.075153,0.978516,0.107550,96.124031,0.961240,0.842568,0.705882,0.750000,0.666667,0.979253,0.975207,0.983333,0.00000895
Stage2,7,0.087767,0.974609,0.106257,96.899225,0.968992,0.880556,0.777778,0.777778,0.777778,0.983333,0.983333,0.983333,0.00000856
Stage2,8,0.075093,0.976562,0.097829,96.899225,0.968992,0.880556,0.777778,0.777778,0.777778,0.983333,0.983333,0.983333,0.00000811
Stage2,9,0.064128,0.978516,0.104394,96.899225,0.968992,0.880556,0.777778,0.777778,0.777778,0.983333,0.983333,0.983333,0.00000760
Stage2,10,0.061109,0.974609,0.106203,96.899225,0.968992,0.880556,0.777778,0.777778,0.777778,0.983333,0.983333,0.983333,0.00000706
Stage2,11,0.061934,0.982422,0.115077,96.899225,0.968992,0.880556,0.777778,0.777778,0.777778,0.983333,0.983333,0.983333,0.00000648
Stage2,12,0.064681,0.982422,0.106692,96.899225,0.968992,0.880556,0.777778,0.777778,0.777778,0.983333,0.983333,0.983333,0.00000588
Stage2,13,0.064674,0.976562,0.143014,93.023256,0.930233,0.785199,0.608696,0.500000,0.777778,0.961702,0.982609,0.941667,0.00000526
Stage2,14,0.067121,0.974609,0.190283,89.922481,0.899225,0.731121,0.518519,0.388889,0.777778,0.943723,0.981982,0.908333,0.00000464
Stage2,15,0.034445,0.990234,0.146489,93.023256,0.930233,0.785199,0.608696,0.500000,0.777778,0.961702,0.982609,0.941667,0.00000402
Stage2,16,0.042181,0.986328,0.154058,93.023256,0.930233,0.785199,0.608696,0.500000,0.777778,0.961702,0.982609,0.941667,0.00000342
Stage2,17,0.035031,0.984375,0.198991,89.922481,0.899225,0.731121,0.518519,0.388889,0.777778,0.943723,0.981982,0.908333,0.00000284
Stage2,18,0.033904,0.996094,0.142964,93.023256,0.930233,0.785199,0.608696,0.500000,0.777778,0.961702,0.982609,0.941667,0.00000230
Stage2,19,0.042950,0.986328,0.149474,93.023256,0.930233,0.785199,0.608696,0.500000,0.777778,0.961702,0.982609,0.941667,0.00000179
Stage2,20,0.044752,0.986328,0.138995,93.798450,0.937984,0.801233,0.636364,0.538462,0.777778,0.966102,0.982759,0.950000,0.00000134
Stage2,21,0.038548,0.992188,0.135666,93.798450,0.937984,0.801233,0.636364,0.538462,0.777778,0.966102,0.982759,0.950000,0.00000095
Stage2,22,0.026312,0.992188,0.119716,94.573643,0.945736,0.818565,0.666667,0.583333,0.777778,0.970464,0.982906,0.958333,0.00000061
Stage2,23,0.028618,0.990234,0.120895,94.573643,0.945736,0.818565,0.666667,0.583333,0.777778,0.970464,0.982906,0.958333,0.00000035
Stage2,24,0.030802,0.988281,0.121687,94.573643,0.945736,0.818565,0.666667,0.583333,0.777778,0.970464,0.982906,0.958333,0.00000016
Stage2,25,0.041540,0.986328,0.121388,94.573643,0.945736,0.818565,0.666667,0.583333,0.777778,0.970464,0.982906,0.958333,0.00000004
