stage,epoch,train_total_loss,train_ce_loss,train_distill_loss,train_acc,test_loss,test_acc,micro_f1,macro_f1,cough_f1,cough_precision,cough_recall,non_cough_f1,non_cough_precision,non_cough_recall,learning_rate
Stage2,1,0.808474,0.808474,0.000000,0.910156,0.148089,95.348837,0.953488,0.837395,0.700000,0.636364,0.777778,0.974790,0.983051,0.966667,0.00000990
Stage2,2,0.214896,0.214896,0.000000,0.947266,0.118825,96.124031,0.961240,0.870404,0.761905,0.666667,0.888889,0.978903,0.991453,0.966667,0.00000986
Stage2,3,0.185977,0.185977,0.000000,0.943359,0.123515,96.124031,0.961240,0.870404,0.761905,0.666667,0.888889,0.978903,0.991453,0.966667,0.00000974
Stage2,4,0.144707,0.144707,0.000000,0.970703,0.094048,96.124031,0.961240,0.857961,0.736842,0.700000,0.777778,0.979079,0.983193,0.975000,0.00000955
Stage2,5,0.133228,0.133228,0.000000,0.962891,0.130623,96.124031,0.961240,0.870404,0.761905,0.666667,0.888889,0.978903,0.991453,0.966667,0.00000929
Stage2,6,0.104128,0.104128,0.000000,0.968750,0.114166,96.124031,0.961240,0.823045,0.666667,0.833333,0.555556,0.979424,0.967480,0.991667,0.00000895
Stage2,7,0.096042,0.096042,0.000000,0.978516,0.106057,96.899225,0.968992,0.880556,0.777778,0.777778,0.777778,0.983333,0.983333,0.983333,0.00000856
Stage2,8,0.057072,0.057072,0.000000,0.982422,0.133507,93.023256,0.930233,0.572690,0.181818,0.500000,0.111111,0.963563,0.937008,0.991667,0.00000811
Stage2,9,0.090373,0.090373,0.000000,0.972656,0.105234,96.124031,0.961240,0.870404,0.761905,0.666667,0.888889,0.978903,0.991453,0.966667,0.00000760
Stage2,10,0.033529,0.033529,0.000000,0.992188,0.092214,96.899225,0.968992,0.880556,0.777778,0.777778,0.777778,0.983333,0.983333,0.983333,0.00000706
Stage2,11,0.021202,0.021202,0.000000,0.994141,0.235248,89.922481,0.899225,0.761688,0.580645,0.409091,1.000000,0.942731,1.000000,0.891667,0.00000648
Stage2,12,0.042197,0.042197,0.000000,0.984375,0.101575,96.124031,0.961240,0.842568,0.705882,0.750000,0.666667,0.979253,0.975207,0.983333,0.00000588
Stage2,13,0.059539,0.059539,0.000000,0.980469,0.121417,95.348837,0.953488,0.800103,0.625000,0.714286,0.555556,0.975207,0.967213,0.983333,0.00000526
Stage2,14,0.056907,0.056907,0.000000,0.990234,0.128930,96.124031,0.961240,0.870404,0.761905,0.666667,0.888889,0.978903,0.991453,0.966667,0.00000464
Stage2,15,0.033446,0.033446,0.000000,0.988281,0.112093,94.573643,0.945736,0.832932,0.695652,0.571429,0.888889,0.970213,0.991304,0.950000,0.00000402
Stage2,16,0.019958,0.019958,0.000000,0.992188,0.122315,94.573643,0.945736,0.832932,0.695652,0.571429,0.888889,0.970213,0.991304,0.950000,0.00000342
Stage2,17,0.019804,0.019804,0.000000,0.992188,0.122463,94.573643,0.945736,0.832932,0.695652,0.571429,0.888889,0.970213,0.991304,0.950000,0.00000284
Stage2,18,0.023144,0.023144,0.000000,0.992188,0.091867,96.899225,0.968992,0.891597,0.800000,0.727273,0.888889,0.983193,0.991525,0.975000,0.00000230
Stage2,19,0.029394,0.029394,0.000000,0.986328,0.126278,94.573643,0.945736,0.832932,0.695652,0.571429,0.888889,0.970213,0.991304,0.950000,0.00000179
Stage2,20,0.017901,0.017901,0.000000,0.994141,0.152264,94.573643,0.945736,0.832932,0.695652,0.571429,0.888889,0.970213,0.991304,0.950000,0.00000134
Stage2,21,0.016741,0.016741,0.000000,0.996094,0.096618,96.124031,0.961240,0.870404,0.761905,0.666667,0.888889,0.978903,0.991453,0.966667,0.00000095
Stage2,22,0.016634,0.016634,0.000000,0.998047,0.096745,96.124031,0.961240,0.870404,0.761905,0.666667,0.888889,0.978903,0.991453,0.966667,0.00000061
Stage2,23,0.013702,0.013702,0.000000,0.992188,0.111438,95.348837,0.953488,0.850924,0.727273,0.615385,0.888889,0.974576,0.991379,0.958333,0.00000035
Stage2,24,0.013406,0.013406,0.000000,0.996094,0.108798,95.348837,0.953488,0.850924,0.727273,0.615385,0.888889,0.974576,0.991379,0.958333,0.00000016
Stage2,25,0.014655,0.014655,0.000000,0.998047,0.108699,95.348837,0.953488,0.850924,0.727273,0.615385,0.888889,0.974576,0.991379,0.958333,0.00000004
