stage,epoch,train_loss,train_acc,test_loss,test_acc,micro_f1,macro_f1,cough_f1,cough_precision,cough_recall,non_cough_f1,non_cough_precision,non_cough_recall,learning_rate
Stage2,1,1.443747,0.863281,0.250819,93.023256,0.930233,0.481928,0.000000,0.000000,0.000000,0.963855,0.930233,1.000000,0.00000990
Stage2,2,0.352856,0.937500,0.160525,93.798450,0.937984,0.583871,0.200000,1.000000,0.111111,0.967742,0.937500,1.000000,0.00000986
Stage2,3,0.257914,0.949219,0.160045,93.023256,0.930233,0.481928,0.000000,0.000000,0.000000,0.963855,0.930233,1.000000,0.00000974
Stage2,4,0.240227,0.957031,0.122492,96.899225,0.968992,0.866736,0.750000,0.857143,0.666667,0.983471,0.975410,0.991667,0.00000955
Stage2,5,0.224784,0.958984,0.126309,96.124031,0.961240,0.823045,0.666667,0.833333,0.555556,0.979424,0.967480,0.991667,0.00000929
Stage2,6,0.148120,0.962891,0.129424,96.124031,0.961240,0.823045,0.666667,0.833333,0.555556,0.979424,0.967480,0.991667,0.00000895
Stage2,7,0.162208,0.966797,0.127503,96.899225,0.968992,0.866736,0.750000,0.857143,0.666667,0.983471,0.975410,0.991667,0.00000856
Stage2,8,0.165590,0.970703,0.124075,96.124031,0.961240,0.797488,0.615385,1.000000,0.444444,0.979592,0.960000,1.000000,0.00000811
Stage2,9,0.142122,0.964844,0.121345,96.899225,0.968992,0.866736,0.750000,0.857143,0.666667,0.983471,0.975410,0.991667,0.00000760
Stage2,10,0.157639,0.960938,0.133157,96.899225,0.968992,0.880556,0.777778,0.777778,0.777778,0.983333,0.983333,0.983333,0.00000706
Stage2,11,0.137239,0.974609,0.131492,96.899225,0.968992,0.880556,0.777778,0.777778,0.777778,0.983333,0.983333,0.983333,0.00000648
Stage2,12,0.153318,0.974609,0.121952,96.899225,0.968992,0.866736,0.750000,0.857143,0.666667,0.983471,0.975410,0.991667,0.00000588
Stage2,13,0.109222,0.976562,0.133774,96.899225,0.968992,0.866736,0.750000,0.857143,0.666667,0.983471,0.975410,0.991667,0.00000526
Stage2,14,0.099159,0.957031,0.131578,96.899225,0.968992,0.866736,0.750000,0.857143,0.666667,0.983471,0.975410,0.991667,0.00000464
Stage2,15,0.106718,0.972656,0.132907,96.899225,0.968992,0.866736,0.750000,0.857143,0.666667,0.983471,0.975410,0.991667,0.00000402
Stage2,16,0.126766,0.968750,0.136090,96.899225,0.968992,0.866736,0.750000,0.857143,0.666667,0.983471,0.975410,0.991667,0.00000342
Stage2,17,0.136227,0.974609,0.147647,96.899225,0.968992,0.880556,0.777778,0.777778,0.777778,0.983333,0.983333,0.983333,0.00000284
Stage2,18,0.117696,0.968750,0.131565,96.899225,0.968992,0.866736,0.750000,0.857143,0.666667,0.983471,0.975410,0.991667,0.00000230
Stage2,19,0.123557,0.966797,0.133971,96.899225,0.968992,0.866736,0.750000,0.857143,0.666667,0.983471,0.975410,0.991667,0.00000179
Stage2,20,0.109675,0.968750,0.129407,96.899225,0.968992,0.866736,0.750000,0.857143,0.666667,0.983471,0.975410,0.991667,0.00000134
Stage2,21,0.125849,0.968750,0.126999,96.899225,0.968992,0.866736,0.750000,0.857143,0.666667,0.983471,0.975410,0.991667,0.00000095
Stage2,22,0.110564,0.966797,0.125935,96.899225,0.968992,0.866736,0.750000,0.857143,0.666667,0.983471,0.975410,0.991667,0.00000061
Stage2,23,0.129035,0.968750,0.127935,96.899225,0.968992,0.866736,0.750000,0.857143,0.666667,0.983471,0.975410,0.991667,0.00000035
Stage2,24,0.126758,0.966797,0.127816,96.899225,0.968992,0.866736,0.750000,0.857143,0.666667,0.983471,0.975410,0.991667,0.00000016
Stage2,25,0.124776,0.964844,0.127232,96.899225,0.968992,0.866736,0.750000,0.857143,0.666667,0.983471,0.975410,0.991667,0.00000004
