stage,epoch,train_loss,train_acc,test_loss,test_acc,micro_f1,macro_f1,cough_f1,cough_precision,cough_recall,non_cough_f1,non_cough_precision,non_cough_recall,learning_rate
Stage1,31,0.061422,1.000000,0.108438,98.540146,0.985401,0.937285,0.882353,1.000000,0.789474,0.992218,0.984556,1.000000,0.00007939
Stage1,32,0.061195,1.000000,0.107900,98.540146,0.985401,0.937285,0.882353,1.000000,0.789474,0.992218,0.984556,1.000000,0.00007810
Stage1,33,0.060045,1.000000,0.109427,98.540146,0.985401,0.937285,0.882353,1.000000,0.789474,0.992218,0.984556,1.000000,0.00007679
Stage1,34,0.059600,1.000000,0.115638,98.175182,0.981752,0.919388,0.848485,1.000000,0.736842,0.990291,0.980769,1.000000,0.00007545
Stage1,35,0.059292,1.000000,0.109778,98.175182,0.981752,0.919388,0.848485,1.000000,0.736842,0.990291,0.980769,1.000000,0.00007409
Stage1,36,0.059071,1.000000,0.113729,97.810219,0.978102,0.900436,0.812500,1.000000,0.684211,0.988372,0.977011,1.000000,0.00007270
Stage1,37,0.059351,1.000000,0.110222,98.175182,0.981752,0.919388,0.848485,1.000000,0.736842,0.990291,0.980769,1.000000,0.00007129
Stage1,38,0.059047,1.000000,0.107522,98.540146,0.985401,0.937285,0.882353,1.000000,0.789474,0.992218,0.984556,1.000000,0.00006986
Stage1,39,0.058619,1.000000,0.108603,98.175182,0.981752,0.919388,0.848485,1.000000,0.736842,0.990291,0.980769,1.000000,0.00006841
Stage1,40,0.058438,1.000000,0.111878,98.175182,0.981752,0.919388,0.848485,1.000000,0.736842,0.990291,0.980769,1.000000,0.00006694
Stage1,41,0.058478,1.000000,0.108147,98.175182,0.981752,0.919388,0.848485,1.000000,0.736842,0.990291,0.980769,1.000000,0.00006545
Stage1,42,0.058181,1.000000,0.108844,98.175182,0.981752,0.919388,0.848485,1.000000,0.736842,0.990291,0.980769,1.000000,0.00006395
Stage1,43,0.058178,1.000000,0.112613,98.175182,0.981752,0.919388,0.848485,1.000000,0.736842,0.990291,0.980769,1.000000,0.00006243
Stage1,44,0.058227,1.000000,0.112327,98.175182,0.981752,0.919388,0.848485,1.000000,0.736842,0.990291,0.980769,1.000000,0.00006091
Stage1,45,0.057980,1.000000,0.109422,98.175182,0.981752,0.919388,0.848485,1.000000,0.736842,0.990291,0.980769,1.000000,0.00005937
Stage1,46,0.058233,1.000000,0.111276,98.175182,0.981752,0.919388,0.848485,1.000000,0.736842,0.990291,0.980769,1.000000,0.00005782
Stage1,47,0.057632,1.000000,0.110419,98.175182,0.981752,0.919388,0.848485,1.000000,0.736842,0.990291,0.980769,1.000000,0.00005627
Stage1,48,0.057716,1.000000,0.112254,98.175182,0.981752,0.919388,0.848485,1.000000,0.736842,0.990291,0.980769,1.000000,0.00005471
Stage2,1,0.883721,0.890625,0.197350,93.023256,0.930233,0.481928,0.000000,0.000000,0.000000,0.963855,0.930233,1.000000,0.00000990
Stage2,2,0.257948,0.943359,0.182934,93.023256,0.930233,0.481928,0.000000,0.000000,0.000000,0.963855,0.930233,1.000000,0.00000986
Stage2,3,0.227471,0.937500,0.168575,96.899225,0.968992,0.866736,0.750000,0.857143,0.666667,0.983471,0.975410,0.991667,0.00000974
Stage2,4,0.183505,0.937500,0.167272,94.573643,0.945736,0.779595,0.588235,0.625000,0.555556,0.970954,0.966942,0.975000,0.00000955
Stage2,5,0.165268,0.929688,0.154870,96.899225,0.968992,0.866736,0.750000,0.857143,0.666667,0.983471,0.975410,0.991667,0.00000929
Stage2,6,0.109933,0.921875,0.165107,96.899225,0.968992,0.866736,0.750000,0.857143,0.666667,0.983471,0.975410,0.991667,0.00000895
Stage2,7,0.131222,0.933594,0.170497,96.124031,0.961240,0.797488,0.615385,1.000000,0.444444,0.979592,0.960000,1.000000,0.00000856
Stage2,8,0.109563,0.933594,0.171494,95.348837,0.953488,0.820833,0.666667,0.666667,0.666667,0.975000,0.975000,0.975000,0.00000811
Stage2,9,0.091727,0.927734,0.167143,95.348837,0.953488,0.820833,0.666667,0.666667,0.666667,0.975000,0.975000,0.975000,0.00000760
Stage2,10,0.101768,0.925781,0.196624,93.023256,0.930233,0.766727,0.571429,0.500000,0.666667,0.962025,0.974359,0.950000,0.00000706
Stage2,11,0.100100,0.921875,0.171031,94.573643,0.945736,0.801145,0.631579,0.600000,0.666667,0.970711,0.974790,0.966667,0.00000648
Stage2,12,0.094425,0.914062,0.176179,93.798450,0.937984,0.783193,0.600000,0.545455,0.666667,0.966387,0.974576,0.958333,0.00000588
Stage2,13,0.107413,0.914062,0.172988,94.573643,0.945736,0.801145,0.631579,0.600000,0.666667,0.970711,0.974790,0.966667,0.00000526
Stage2,14,0.099225,0.933594,0.180332,93.798450,0.937984,0.783193,0.600000,0.545455,0.666667,0.966387,0.974576,0.958333,0.00000464
Stage2,15,0.079485,0.914062,0.167624,94.573643,0.945736,0.801145,0.631579,0.600000,0.666667,0.970711,0.974790,0.966667,0.00000402
Stage2,16,0.080794,0.919922,0.169173,94.573643,0.945736,0.801145,0.631579,0.600000,0.666667,0.970711,0.974790,0.966667,0.00000342
Stage2,17,0.077604,0.916016,0.183696,93.798450,0.937984,0.783193,0.600000,0.545455,0.666667,0.966387,0.974576,0.958333,0.00000284
Stage2,18,0.072215,0.925781,0.176592,94.573643,0.945736,0.801145,0.631579,0.600000,0.666667,0.970711,0.974790,0.966667,0.00000230
Stage2,19,0.063354,0.914062,0.189976,93.798450,0.937984,0.783193,0.600000,0.545455,0.666667,0.966387,0.974576,0.958333,0.00000179
Stage2,20,0.080665,0.916016,0.173122,94.573643,0.945736,0.801145,0.631579,0.600000,0.666667,0.970711,0.974790,0.966667,0.00000134
Stage2,21,0.056072,0.917969,0.179544,93.798450,0.937984,0.783193,0.600000,0.545455,0.666667,0.966387,0.974576,0.958333,0.00000095
Stage2,22,0.072398,0.917969,0.178106,93.798450,0.937984,0.783193,0.600000,0.545455,0.666667,0.966387,0.974576,0.958333,0.00000061
Stage2,23,0.077673,0.914062,0.176741,93.798450,0.937984,0.783193,0.600000,0.545455,0.666667,0.966387,0.974576,0.958333,0.00000035
Stage2,24,0.065923,0.923828,0.175186,94.573643,0.945736,0.801145,0.631579,0.600000,0.666667,0.970711,0.974790,0.966667,0.00000016
Stage2,25,0.067661,0.923828,0.175583,94.573643,0.945736,0.801145,0.631579,0.600000,0.666667,0.970711,0.974790,0.966667,0.00000004
