stage,epoch,train_total_loss,train_ce_loss,train_distill_loss,train_acc,test_loss,test_acc,micro_f1,macro_f1,cough_f1,cough_precision,cough_recall,non_cough_f1,non_cough_precision,non_cough_recall,learning_rate
Stage2,1,1.095997,0.423307,1.345379,0.880859,0.163310,93.798450,0.937984,0.650407,0.333333,0.666667,0.222222,0.967480,0.944444,0.991667,0.00000990
Stage2,2,0.249745,0.151229,0.197033,0.947266,0.132923,96.899225,0.968992,0.880556,0.777778,0.777778,0.777778,0.983333,0.983333,0.983333,0.00000986
Stage2,3,0.366840,0.172746,0.388188,0.951172,0.141615,93.023256,0.930233,0.572690,0.181818,0.500000,0.111111,0.963563,0.937008,0.991667,0.00000974
Stage2,4,0.321223,0.141127,0.360193,0.939453,0.191550,93.023256,0.930233,0.481928,0.000000,0.000000,0.000000,0.963855,0.930233,1.000000,0.00000955
Stage2,5,0.276580,0.136774,0.279612,0.947266,0.118607,96.124031,0.961240,0.823045,0.666667,0.833333,0.555556,0.979424,0.967480,0.991667,0.00000929
Stage2,6,0.150338,0.131426,0.189121,0.960938,0.106667,95.348837,0.953488,0.773419,0.571429,0.800000,0.444444,0.975410,0.959677,0.991667,0.00000895
Stage2,7,0.141509,0.118113,0.233952,0.970703,0.113263,95.348837,0.953488,0.800103,0.625000,0.714286,0.555556,0.975207,0.967213,0.983333,0.00000856
Stage2,8,0.134477,0.107877,0.266004,0.960938,0.119975,95.348837,0.953488,0.773419,0.571429,0.800000,0.444444,0.975410,0.959677,0.991667,0.00000811
Stage2,9,0.137600,0.113805,0.237952,0.951172,0.119933,95.348837,0.953488,0.773419,0.571429,0.800000,0.444444,0.975410,0.959677,0.991667,0.00000760
Stage2,10,0.144302,0.120257,0.240442,0.962891,0.109860,95.348837,0.953488,0.800103,0.625000,0.714286,0.555556,0.975207,0.967213,0.983333,0.00000706
Stage2,11,0.131015,0.110896,0.201198,0.966797,0.132248,96.899225,0.968992,0.880556,0.777778,0.777778,0.777778,0.983333,0.983333,0.983333,0.00000648
Stage2,12,0.118449,0.095723,0.227255,0.972656,0.121336,95.348837,0.953488,0.800103,0.625000,0.714286,0.555556,0.975207,0.967213,0.983333,0.00000588
Stage2,13,0.125200,0.106503,0.186976,0.966797,0.114489,95.348837,0.953488,0.800103,0.625000,0.714286,0.555556,0.975207,0.967213,0.983333,0.00000526
Stage2,14,0.121553,0.104620,0.169329,0.976562,0.136717,96.899225,0.968992,0.880556,0.777778,0.777778,0.777778,0.983333,0.983333,0.983333,0.00000464
Stage2,15,0.108109,0.086613,0.214962,0.974609,0.116661,95.348837,0.953488,0.800103,0.625000,0.714286,0.555556,0.975207,0.967213,0.983333,0.00000402
Stage2,16,0.107246,0.088801,0.184454,0.972656,0.125620,95.348837,0.953488,0.800103,0.625000,0.714286,0.555556,0.975207,0.967213,0.983333,0.00000342
Stage2,17,0.106100,0.092382,0.137177,0.972656,0.120510,95.348837,0.953488,0.800103,0.625000,0.714286,0.555556,0.975207,0.967213,0.983333,0.00000284
Stage2,18,0.101145,0.080952,0.201934,0.970703,0.122281,95.348837,0.953488,0.800103,0.625000,0.714286,0.555556,0.975207,0.967213,0.983333,0.00000230
Stage2,19,0.126919,0.111786,0.151329,0.968750,0.128382,96.124031,0.961240,0.842568,0.705882,0.750000,0.666667,0.979253,0.975207,0.983333,0.00000179
Stage2,20,0.104986,0.092416,0.125699,0.980469,0.124136,96.124031,0.961240,0.842568,0.705882,0.750000,0.666667,0.979253,0.975207,0.983333,0.00000134
Stage2,21,0.094766,0.078120,0.166468,0.976562,0.117311,95.348837,0.953488,0.800103,0.625000,0.714286,0.555556,0.975207,0.967213,0.983333,0.00000095
Stage2,22,0.095655,0.078031,0.176248,0.978516,0.120150,96.124031,0.961240,0.842568,0.705882,0.750000,0.666667,0.979253,0.975207,0.983333,0.00000061
Stage2,23,0.101343,0.087010,0.143323,0.974609,0.121586,96.124031,0.961240,0.842568,0.705882,0.750000,0.666667,0.979253,0.975207,0.983333,0.00000035
Stage2,24,0.096631,0.082864,0.137672,0.972656,0.120659,96.124031,0.961240,0.842568,0.705882,0.750000,0.666667,0.979253,0.975207,0.983333,0.00000016
Stage2,25,0.097673,0.085561,0.121124,0.970703,0.120450,96.124031,0.961240,0.842568,0.705882,0.750000,0.666667,0.979253,0.975207,0.983333,0.00000004
