stage,epoch,train_total_loss,train_ce_loss,train_distill_loss,train_acc,test_loss,test_acc,micro_f1,macro_f1,cough_f1,cough_precision,cough_recall,non_cough_f1,non_cough_precision,non_cough_recall,learning_rate
Stage2,1,1.258126,0.407626,1.701000,0.890625,0.158198,93.023256,0.930233,0.481928,0.000000,0.000000,0.000000,0.963855,0.930233,1.000000,0.00000990
Stage2,2,0.327486,0.157499,0.339973,0.953125,0.113931,93.023256,0.930233,0.572690,0.181818,0.500000,0.111111,0.963563,0.937008,0.991667,0.00000986
Stage2,3,0.262367,0.144640,0.235454,0.960938,0.106370,96.899225,0.968992,0.866736,0.750000,0.857143,0.666667,0.983471,0.975410,0.991667,0.00000974
Stage2,4,0.277914,0.124222,0.307384,0.958984,0.138217,93.023256,0.930233,0.481928,0.000000,0.000000,0.000000,0.963855,0.930233,1.000000,0.00000955
Stage2,5,0.303572,0.162628,0.281888,0.951172,0.135762,96.124031,0.961240,0.857961,0.736842,0.700000,0.777778,0.979079,0.983193,0.975000,0.00000929
Stage2,6,0.194655,0.168218,0.264370,0.960938,0.090196,96.124031,0.961240,0.842568,0.705882,0.750000,0.666667,0.979253,0.975207,0.983333,0.00000895
Stage2,7,0.128377,0.099136,0.292406,0.970703,0.109798,95.348837,0.953488,0.800103,0.625000,0.714286,0.555556,0.975207,0.967213,0.983333,0.00000856
Stage2,8,0.136815,0.112070,0.247450,0.966797,0.117846,95.348837,0.953488,0.773419,0.571429,0.800000,0.444444,0.975410,0.959677,0.991667,0.00000811
Stage2,9,0.135698,0.112358,0.233398,0.964844,0.108845,95.348837,0.953488,0.800103,0.625000,0.714286,0.555556,0.975207,0.967213,0.983333,0.00000760
Stage2,10,0.113727,0.087291,0.264359,0.974609,0.117661,95.348837,0.953488,0.800103,0.625000,0.714286,0.555556,0.975207,0.967213,0.983333,0.00000706
Stage2,11,0.124569,0.104149,0.204208,0.970703,0.110646,96.899225,0.968992,0.880556,0.777778,0.777778,0.777778,0.983333,0.983333,0.983333,0.00000648
Stage2,12,0.116723,0.085972,0.307508,0.976562,0.117645,94.573643,0.945736,0.716484,0.461538,0.750000,0.333333,0.971429,0.952000,0.991667,0.00000588
Stage2,13,0.105701,0.076232,0.294693,0.972656,0.097451,95.348837,0.953488,0.773419,0.571429,0.800000,0.444444,0.975410,0.959677,0.991667,0.00000526
Stage2,14,0.114565,0.093504,0.210612,0.976562,0.106184,96.899225,0.968992,0.880556,0.777778,0.777778,0.777778,0.983333,0.983333,0.983333,0.00000464
Stage2,15,0.094696,0.070795,0.239008,0.980469,0.104595,95.348837,0.953488,0.800103,0.625000,0.714286,0.555556,0.975207,0.967213,0.983333,0.00000402
Stage2,16,0.091703,0.074192,0.175109,0.978516,0.112487,95.348837,0.953488,0.800103,0.625000,0.714286,0.555556,0.975207,0.967213,0.983333,0.00000342
Stage2,17,0.095734,0.076784,0.189498,0.972656,0.097459,96.124031,0.961240,0.842568,0.705882,0.750000,0.666667,0.979253,0.975207,0.983333,0.00000284
Stage2,18,0.099216,0.078111,0.211051,0.974609,0.097256,95.348837,0.953488,0.800103,0.625000,0.714286,0.555556,0.975207,0.967213,0.983333,0.00000230
Stage2,19,0.105832,0.090434,0.153982,0.976562,0.102791,96.899225,0.968992,0.880556,0.777778,0.777778,0.777778,0.983333,0.983333,0.983333,0.00000179
Stage2,20,0.087214,0.070300,0.169144,0.982422,0.098835,96.899225,0.968992,0.880556,0.777778,0.777778,0.777778,0.983333,0.983333,0.983333,0.00000134
Stage2,21,0.092215,0.077691,0.145245,0.980469,0.098766,96.899225,0.968992,0.880556,0.777778,0.777778,0.777778,0.983333,0.983333,0.983333,0.00000095
Stage2,22,0.095430,0.077762,0.176675,0.978516,0.094224,96.899225,0.968992,0.880556,0.777778,0.777778,0.777778,0.983333,0.983333,0.983333,0.00000061
Stage2,23,0.098313,0.077508,0.208050,0.978516,0.096989,96.899225,0.968992,0.880556,0.777778,0.777778,0.777778,0.983333,0.983333,0.983333,0.00000035
Stage2,24,0.101790,0.080736,0.210540,0.982422,0.096459,96.899225,0.968992,0.880556,0.777778,0.777778,0.777778,0.983333,0.983333,0.983333,0.00000016
Stage2,25,0.097447,0.082980,0.144668,0.976562,0.096578,96.899225,0.968992,0.880556,0.777778,0.777778,0.777778,0.983333,0.983333,0.983333,0.00000004
