stage,epoch,train_loss,train_acc,test_loss,test_acc,micro_f1,macro_f1,cough_f1,cough_precision,cough_recall,non_cough_f1,non_cough_precision,non_cough_recall,learning_rate
Stage2,1,1.282513,0.857422,0.262708,93.023256,0.930233,0.481928,0.000000,0.000000,0.000000,0.963855,0.930233,1.000000,0.00000990
Stage2,2,0.328006,0.935547,0.181750,95.348837,0.953488,0.737805,0.500000,1.000000,0.333333,0.975610,0.952381,1.000000,0.00000986
Stage2,3,0.267559,0.949219,0.161797,94.573643,0.945736,0.667648,0.363636,1.000000,0.222222,0.971660,0.944882,1.000000,0.00000974
Stage2,4,0.235694,0.941406,0.161058,95.348837,0.953488,0.773419,0.571429,0.800000,0.444444,0.975410,0.959677,0.991667,0.00000955
Stage2,5,0.174673,0.939453,0.165931,96.124031,0.961240,0.842568,0.705882,0.750000,0.666667,0.979253,0.975207,0.983333,0.00000929
Stage2,6,0.124061,0.941406,0.166263,96.899225,0.968992,0.866736,0.750000,0.857143,0.666667,0.983471,0.975410,0.991667,0.00000895
Stage2,7,0.102523,0.923828,0.172016,96.124031,0.961240,0.823045,0.666667,0.833333,0.555556,0.979424,0.967480,0.991667,0.00000856
Stage2,8,0.101826,0.923828,0.173172,94.573643,0.945736,0.716484,0.461538,0.750000,0.333333,0.971429,0.952000,0.991667,0.00000811
Stage2,9,0.113200,0.914062,0.176182,94.573643,0.945736,0.716484,0.461538,0.750000,0.333333,0.971429,0.952000,0.991667,0.00000760
Stage2,10,0.112844,0.921875,0.175057,95.348837,0.953488,0.820833,0.666667,0.666667,0.666667,0.975000,0.975000,0.975000,0.00000706
Stage2,11,0.096987,0.925781,0.175971,95.348837,0.953488,0.820833,0.666667,0.666667,0.666667,0.975000,0.975000,0.975000,0.00000648
Stage2,12,0.091626,0.925781,0.168282,96.124031,0.961240,0.842568,0.705882,0.750000,0.666667,0.979253,0.975207,0.983333,0.00000588
Stage2,13,0.085239,0.919922,0.173929,95.348837,0.953488,0.800103,0.625000,0.714286,0.555556,0.975207,0.967213,0.983333,0.00000526
Stage2,14,0.088701,0.945312,0.173996,94.573643,0.945736,0.752263,0.533333,0.666667,0.444444,0.971193,0.959350,0.983333,0.00000464
Stage2,15,0.084725,0.925781,0.177039,95.348837,0.953488,0.820833,0.666667,0.666667,0.666667,0.975000,0.975000,0.975000,0.00000402
Stage2,16,0.084366,0.914062,0.175335,95.348837,0.953488,0.820833,0.666667,0.666667,0.666667,0.975000,0.975000,0.975000,0.00000342
Stage2,17,0.090792,0.937500,0.182608,93.798450,0.937984,0.783193,0.600000,0.545455,0.666667,0.966387,0.974576,0.958333,0.00000284
Stage2,18,0.078541,0.919922,0.176719,95.348837,0.953488,0.820833,0.666667,0.666667,0.666667,0.975000,0.975000,0.975000,0.00000230
Stage2,19,0.075364,0.925781,0.179938,94.573643,0.945736,0.801145,0.631579,0.600000,0.666667,0.970711,0.974790,0.966667,0.00000179
Stage2,20,0.076377,0.923828,0.175015,95.348837,0.953488,0.820833,0.666667,0.666667,0.666667,0.975000,0.975000,0.975000,0.00000134
Stage2,21,0.075072,0.917969,0.178914,94.573643,0.945736,0.801145,0.631579,0.600000,0.666667,0.970711,0.974790,0.966667,0.00000095
Stage2,22,0.074337,0.916016,0.174577,95.348837,0.953488,0.820833,0.666667,0.666667,0.666667,0.975000,0.975000,0.975000,0.00000061
Stage2,23,0.067916,0.921875,0.174955,95.348837,0.953488,0.820833,0.666667,0.666667,0.666667,0.975000,0.975000,0.975000,0.00000035
Stage2,24,0.074012,0.916016,0.175420,95.348837,0.953488,0.820833,0.666667,0.666667,0.666667,0.975000,0.975000,0.975000,0.00000016
Stage2,25,0.074008,0.919922,0.175561,94.573643,0.945736,0.801145,0.631579,0.600000,0.666667,0.970711,0.974790,0.966667,0.00000004
